,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0013068340485915542,0.0,300.0,300,0.25,12000
1,1,0.007350916974246502,25.0,602.0,300,0.25,12000
2,2,0.011854124953970313,28.0,904.0,300,0.25,12000
3,3,0.016417750041000545,31.0,1206.0,300,0.25,12000
4,4,0.021105124964378774,31.0,1507.0,300,0.25,12000
5,5,0.025677916943095624,35.0,1809.0,300,0.25,12000
6,6,0.03064870904199779,36.0,2111.0,300,0.25,12000
7,7,0.0355333749903366,36.0,2412.0,300,0.25,12000
8,8,0.04035062494222075,36.0,2713.0,300,0.25,12000
9,9,0.04513170896098018,36.0,3014.0,300,0.25,12000
10,10,0.049858749960549176,36.0,3315.0,300,0.25,12000
11,11,0.05477970896754414,36.0,3616.0,300,0.25,12000
12,12,0.059360875049605966,36.0,3917.0,300,0.25,12000
13,13,0.06400287500582635,36.0,4218.0,300,0.25,12000
14,14,0.0687323339516297,36.0,4519.0,300,0.25,12000
15,15,0.07332516694441438,36.0,4820.0,300,0.25,12000
16,16,0.07785891694948077,36.0,5121.0,300,0.25,12000
17,17,0.08251708396710455,36.0,5422.0,300,0.25,12000
18,18,0.08746887499000877,36.0,5723.0,300,0.25,12000
19,19,0.09211720898747444,36.0,6024.0,300,0.25,12000
20,20,0.0967777919722721,36.0,6325.0,300,0.25,12000
21,21,0.10132441704627126,36.0,6626.0,300,0.25,12000
22,22,0.10597725003026426,36.0,6927.0,300,0.25,12000
23,23,0.11058400000911206,36.0,7228.0,300,0.25,12000
24,24,0.11522949999198318,36.0,7529.0,300,0.25,12000
25,25,0.11979129200335592,36.0,7830.0,300,0.25,12000
26,26,0.12433558399789035,36.0,8131.0,300,0.25,12000
27,27,0.12896674999501556,36.0,8432.0,300,0.25,12000
28,28,0.13352616701740772,36.0,8733.0,300,0.25,12000
29,29,0.13811462500598282,36.0,9034.0,300,0.25,12000
30,30,0.14264437498059124,36.0,9335.0,300,0.25,12000
31,31,0.1474114169832319,36.0,9636.0,300,0.25,12000
32,32,0.15199737495277077,36.0,9937.0,300,0.25,12000
33,33,0.15656258398666978,36.0,10238.0,300,0.25,12000
34,34,0.1612196669448167,36.0,10539.0,300,0.25,12000
35,35,0.1657989169470966,36.0,10840.0,300,0.25,12000
36,36,0.1704247499583289,36.0,11141.0,300,0.25,12000
37,37,0.17502079205587506,36.0,11442.0,300,0.25,12000
38,38,0.17963929194957018,36.0,11743.0,300,0.25,12000
39,39,0.18418333400040865,36.0,12044.0,300,0.25,12000
40,40,0.1887433750089258,36.0,12345.0,300,0.25,12000
41,41,0.1933288340223953,36.0,12646.0,300,0.25,12000
42,42,0.19797883403953165,36.0,12947.0,300,0.25,12000
43,43,0.20258208399172872,36.0,13248.0,300,0.25,12000
44,44,0.20713966700714082,36.0,13549.0,300,0.25,12000
45,45,0.21212187502533197,36.0,13850.0,300,0.25,12000
46,46,0.21693912497721612,36.0,14151.0,300,0.25,12000
47,47,0.22195066697895527,36.0,14452.0,300,0.25,12000
48,48,0.22649387503042817,36.0,14753.0,300,0.25,12000
49,49,0.23126716702245176,36.0,15054.0,300,0.25,12000
50,50,0.2360505840042606,36.0,15355.0,300,0.25,12000
51,51,0.2407679590396583,36.0,15656.0,300,0.25,12000
52,52,0.2454655000474304,36.0,15957.0,300,0.25,12000
53,53,0.2500767499441281,36.0,16258.0,300,0.25,12000
54,54,0.25474404194392264,36.0,16559.0,300,0.25,12000
55,55,0.25936400005593896,36.0,16860.0,300,0.25,12000
56,56,0.26407841697800905,36.0,17161.0,300,0.25,12000
57,57,0.26865429198369384,36.0,17462.0,300,0.25,12000
58,58,0.27331654203590006,36.0,17763.0,300,0.25,12000
59,59,0.2780217919498682,36.0,18064.0,300,0.25,12000
60,60,0.28266825003083795,36.0,18365.0,300,0.25,12000
61,61,0.2872683750465512,36.0,18666.0,300,0.25,12000
62,62,0.29196229204535484,36.0,18967.0,300,0.25,12000
63,63,0.2965842919657007,36.0,19268.0,300,0.25,12000
64,64,0.3011099169962108,36.0,19569.0,300,0.25,12000
65,65,0.30577745905611664,36.0,19870.0,300,0.25,12000
66,66,0.3103821249678731,36.0,20171.0,300,0.25,12000
67,67,0.3149849589681253,36.0,20472.0,300,0.25,12000
68,68,0.319520500022918,36.0,20773.0,300,0.25,12000
69,69,0.32412200001999736,36.0,21074.0,300,0.25,12000
70,70,0.32877187500707805,36.0,21375.0,300,0.25,12000
71,71,0.33332350000273436,36.0,21676.0,300,0.25,12000
72,72,0.33798337494954467,36.0,21977.0,300,0.25,12000
73,73,0.3425835419911891,36.0,22278.0,300,0.25,12000
