,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,2.391706220805645e-05,2.0,0.0,0,12000,0
1,1,0.0009258750360459089,2.0,1.0,0,12000,0
2,2,0.000932833063416183,2.0,2.0,0,12000,0
3,3,0.0009379170369356871,2.0,3.0,0,12000,0
4,4,0.000942958053201437,2.0,4.0,0,12000,0
5,5,0.0009481250308454037,2.0,5.0,0,12000,0
6,6,0.0009532080730423331,2.0,6.0,0,12000,0
7,7,0.0009583750506862998,2.0,7.0,0,12000,0
8,8,0.000963500002399087,2.0,8.0,0,12000,0
9,9,0.000968958018347621,2.0,9.0,0,12000,0
10,10,0.0009743330301716924,2.0,10.0,0,12000,0
11,11,0.0009799170074984431,2.0,11.0,0,12000,0
12,12,0.0009857499971985817,2.0,12.0,0,12000,0
13,13,0.0009917080169543624,2.0,13.0,0,12000,0
14,14,0.0009977919980883598,2.0,14.0,0,12000,0
15,15,0.0010039170738309622,2.0,15.0,0,12000,0
16,16,0.0010101250372827053,2.0,16.0,0,12000,0
17,17,0.0010166249703615904,2.0,17.0,0,12000,0
18,18,0.0010230829939246178,2.0,18.0,0,12000,0
19,19,0.001029666978865862,2.0,19.0,0,12000,0
20,20,0.001036333036608994,2.0,20.0,0,12000,0
21,21,0.0010432499693706632,2.0,21.0,0,12000,0
22,22,0.0010507500264793634,2.0,22.0,0,12000,0
23,23,0.0010580000234767795,2.0,23.0,0,12000,0
24,24,0.0010653750505298376,2.0,24.0,0,12000,0
25,25,0.0010730000212788582,2.0,25.0,0,12000,0
26,26,0.0010808330262079835,2.0,26.0,0,12000,0
27,27,0.0010885830270126462,2.0,27.0,0,12000,0
28,28,0.0011007919674739242,2.0,28.0,0,12000,0
29,29,0.0011091249762102962,2.0,29.0,0,12000,0
30,30,0.0011173330713063478,2.0,30.0,0,12000,0
31,31,0.001125750015489757,2.0,31.0,0,12000,0
32,32,0.0011342080542817712,2.0,32.0,0,12000,0
33,33,0.0011430829763412476,2.0,33.0,0,12000,0
34,34,0.0011519580148160458,2.0,34.0,0,12000,0
35,35,0.0011609579669311643,2.0,35.0,0,12000,0
36,36,0.0011700830655172467,2.0,36.0,0,12000,0
37,37,0.0011794170131906867,2.0,37.0,0,12000,0
38,38,0.0011886670254170895,2.0,38.0,0,12000,0
39,39,0.0011982079595327377,2.0,39.0,0,12000,0
40,40,0.001207791967317462,2.0,40.0,0,12000,0
41,41,0.0012177500175312161,2.0,41.0,0,12000,0
