,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.07545995898544788,212.0,300.0,300,0.25,12000
1,1,0.15382658399175853,241.0,602.0,300,0.25,12000
2,2,0.229598541976884,241.0,903.0,300,0.25,12000
3,3,0.3054018340772018,243.0,1205.0,300,0.25,12000
4,4,0.3814746249699965,248.0,1507.0,300,0.25,12000
5,5,0.4569212089991197,248.0,1808.0,300,0.25,12000
6,6,0.5323795840376988,248.0,2109.0,300,0.25,12000
7,7,0.608774209045805,248.0,2410.0,300,0.25,12000
8,8,0.6867157500237226,249.0,2712.0,300,0.25,12000
9,9,0.7627860839711502,249.0,3013.0,300,0.25,12000
10,10,0.8381564170122147,249.0,3314.0,300,0.25,12000
11,11,0.9133317919913679,249.0,3615.0,300,0.25,12000
12,12,0.9889344170223922,249.0,3916.0,300,0.25,12000
13,13,1.0670871250331402,252.0,4218.0,300,0.25,12000
14,14,1.144011834054254,254.0,4520.0,300,0.25,12000
15,15,1.2194182090461254,254.0,4821.0,300,0.25,12000
16,16,1.2949293340789154,254.0,5122.0,300,0.25,12000
17,17,1.370246250065975,254.0,5423.0,300,0.25,12000
18,18,1.4457909590564668,254.0,5724.0,300,0.25,12000
19,19,1.5210762500064448,254.0,6025.0,300,0.25,12000
20,20,1.596901374985464,254.0,6326.0,300,0.25,12000
21,21,1.6721935420064256,254.0,6627.0,300,0.25,12000
22,22,1.7475767920259386,266.0,6929.0,300,0.25,12000
23,23,1.823030999978073,266.0,7230.0,300,0.25,12000
24,24,1.8983085000654683,266.0,7531.0,300,0.25,12000
25,25,1.9735942920669913,266.0,7832.0,300,0.25,12000
26,26,2.0482671670615673,266.0,8133.0,300,0.25,12000
27,27,2.123298417078331,266.0,8434.0,300,0.25,12000
28,28,2.1982457920676097,266.0,8735.0,300,0.25,12000
29,29,2.273385667009279,266.0,9036.0,300,0.25,12000
30,30,2.3493078340543434,266.0,9337.0,300,0.25,12000
31,31,2.426464791991748,266.0,9638.0,300,0.25,12000
32,32,2.5026512920157984,266.0,9939.0,300,0.25,12000
33,33,2.582529917010106,266.0,10240.0,300,0.25,12000
34,34,2.6602147090015933,266.0,10541.0,300,0.25,12000
35,35,2.738304291968234,266.0,10842.0,300,0.25,12000
36,36,2.8139419170329347,266.0,11143.0,300,0.25,12000
37,37,2.8897964589996263,272.0,11445.0,300,0.25,12000
38,38,2.964960667071864,272.0,11746.0,300,0.25,12000
39,39,3.0405625000130385,272.0,12047.0,300,0.25,12000
40,40,3.115815959055908,272.0,12348.0,300,0.25,12000
41,41,3.1909733340144157,272.0,12649.0,300,0.25,12000
42,42,3.2655920840334147,272.0,12950.0,300,0.25,12000
43,43,3.341153417015448,272.0,13251.0,300,0.25,12000
44,44,3.4164951670682058,272.0,13552.0,300,0.25,12000
45,45,3.491643459070474,272.0,13853.0,300,0.25,12000
46,46,3.5673000840470195,278.0,14155.0,300,0.25,12000
47,47,3.6426477920031175,278.0,14456.0,300,0.25,12000
48,48,3.717872375040315,278.0,14757.0,300,0.25,12000
49,49,3.7937183340545744,278.0,15058.0,300,0.25,12000
50,50,3.869494167040102,278.0,15359.0,300,0.25,12000
51,51,3.9447891670279205,278.0,15660.0,300,0.25,12000
52,52,4.020019417046569,278.0,15961.0,300,0.25,12000
53,53,4.095186125021428,278.0,16262.0,300,0.25,12000
54,54,4.170163625036366,278.0,16563.0,300,0.25,12000
55,55,4.245305042015389,278.0,16864.0,300,0.25,12000
56,56,4.320193500025198,278.0,17165.0,300,0.25,12000
57,57,4.395255959010683,278.0,17466.0,300,0.25,12000
58,58,4.470526791992597,279.0,17768.0,300,0.25,12000
59,59,4.545972499996424,280.0,18070.0,300,0.25,12000
60,60,4.620958084007725,280.0,18371.0,300,0.25,12000
61,61,4.697545874980278,281.0,18673.0,300,0.25,12000
62,62,4.7754627499962226,282.0,18975.0,300,0.25,12000
63,63,4.851343292044476,286.0,19277.0,300,0.25,12000
64,64,4.9269469999708235,293.0,19579.0,300,0.25,12000
65,65,5.002578750019893,294.0,19881.0,300,0.25,12000
66,66,5.077873624977656,294.0,20182.0,300,0.25,12000
67,67,5.153482250054367,296.0,20484.0,300,0.25,12000
68,68,5.228729834081605,296.0,20785.0,300,0.25,12000
69,69,5.30434608401265,297.0,21087.0,300,0.25,12000
70,70,5.380325209000148,297.0,21388.0,300,0.25,12000
71,71,5.455564875039272,303.0,21690.0,300,0.25,12000
72,72,5.531643124995753,306.0,21992.0,300,0.25,12000
73,73,5.606865084031597,306.0,22293.0,300,0.25,12000
74,74,5.682102084043436,306.0,22594.0,300,0.25,12000
75,75,5.757502999971621,311.0,22896.0,300,0.25,12000
76,76,5.832774667069316,314.0,23198.0,300,0.25,12000
77,77,5.9081674590706825,314.0,23499.0,300,0.25,12000
78,78,5.983564916998148,314.0,23800.0,300,0.25,12000
79,79,6.059013499994762,320.0,24102.0,300,0.25,12000
80,80,6.134184334077872,320.0,24403.0,300,0.25,12000
81,81,6.209446583990939,321.0,24705.0,300,0.25,12000
82,82,6.284887499990873,322.0,25007.0,300,0.25,12000
83,83,6.360194792039692,329.0,25309.0,300,0.25,12000
84,84,6.434988541994244,329.0,25610.0,300,0.25,12000
85,85,6.510671584052034,330.0,25912.0,300,0.25,12000
86,86,6.587574500008486,330.0,26213.0,300,0.25,12000
87,87,6.663394208997488,339.0,26515.0,300,0.25,12000
88,88,6.740858584060334,339.0,26816.0,300,0.25,12000
89,89,6.817976208985783,350.0,27118.0,300,0.25,12000
90,90,6.894088375032879,350.0,27419.0,300,0.25,12000
91,91,6.969565834035166,350.0,27720.0,300,0.25,12000
92,92,7.045019750017673,350.0,28021.0,300,0.25,12000
93,93,7.120650583994575,350.0,28322.0,300,0.25,12000
94,94,7.1957094999961555,350.0,28623.0,300,0.25,12000
95,95,7.27111508406233,350.0,28924.0,300,0.25,12000
96,96,7.346639042021707,365.0,29226.0,300,0.25,12000
97,97,7.421942083979957,365.0,29527.0,300,0.25,12000
98,98,7.49760729202535,366.0,29829.0,300,0.25,12000
99,99,7.5753229999681935,366.0,30130.0,300,0.25,12000
100,100,7.651540459017269,366.0,30431.0,300,0.25,12000
101,101,7.727444458985701,366.0,30732.0,300,0.25,12000
102,102,7.8029732500435784,366.0,31033.0,300,0.25,12000
103,103,7.879087709006853,368.0,31335.0,300,0.25,12000
104,104,7.955181334051304,371.0,31637.0,300,0.25,12000
105,105,8.030689417035319,376.0,31939.0,300,0.25,12000
106,106,8.105970125063322,377.0,32241.0,300,0.25,12000
107,107,8.181672959006391,382.0,32543.0,300,0.25,12000
108,108,8.257762916968204,385.0,32845.0,300,0.25,12000
109,109,8.333542292006314,393.0,33147.0,300,0.25,12000
110,110,8.4083728750702,393.0,33448.0,300,0.25,12000
111,111,8.483909000060521,396.0,33750.0,300,0.25,12000
112,112,8.559529124991968,401.0,34052.0,300,0.25,12000
113,113,8.634850459056906,401.0,34353.0,300,0.25,12000
114,114,8.71019920904655,401.0,34654.0,300,0.25,12000
115,115,8.788049124996178,401.0,34955.0,300,0.25,12000
116,116,8.865750084049068,401.0,35256.0,300,0.25,12000
117,117,8.942095375037752,401.0,35557.0,300,0.25,12000
118,118,9.018004292040132,404.0,35859.0,300,0.25,12000
119,119,9.094268792076036,412.0,36161.0,300,0.25,12000
120,120,9.17225345899351,421.0,36463.0,300,0.25,12000
121,121,9.249207959044725,421.0,36764.0,300,0.25,12000
