,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,3.470899537205696e-05,5.0,0.0,750,12000
1,1,0.0017109999898821115,5.0,2.0,750,12000
2,2,0.0017335839802399278,5.0,4.0,750,12000
3,3,0.0017528750468045473,4.0,6.0,750,12000
4,4,0.0017711250111460686,4.0,8.0,750,12000
5,5,0.0017892500618472695,3.0,10.0,750,12000
6,6,0.0018070839578285813,3.0,12.0,750,12000
7,7,0.0018247090047225356,3.0,14.0,750,12000
8,8,0.001842500059865415,3.0,16.0,750,12000
9,9,0.0018594589782878757,4.0,18.0,750,12000
10,10,0.0018774999771267176,3.0,20.0,750,12000
11,11,0.001895542023703456,2.0,22.0,750,12000
12,12,0.0019128749845549464,3.0,24.0,750,12000
13,13,0.0019311249488964677,2.0,26.0,750,12000
14,14,0.0019486249657347798,3.0,28.0,750,12000
15,15,0.0019672090420499444,3.0,30.0,750,12000
16,16,0.0019861250184476376,3.0,32.0,750,12000
17,17,0.0020045420387759805,4.0,34.0,750,12000
18,18,0.002023792010731995,4.0,36.0,750,12000
19,19,0.0020418750355020165,5.0,38.0,750,12000
20,20,0.0020610420033335686,4.0,40.0,750,12000
21,21,0.0020807499531656504,4.0,42.0,750,12000
22,22,0.0021001669811084867,4.0,44.0,750,12000
23,23,0.002118875039741397,5.0,46.0,750,12000
24,24,0.0021375420037657022,6.0,48.0,750,12000
25,25,0.0021583749912679195,5.0,50.0,750,12000
26,26,0.002177792019210756,6.0,52.0,750,12000
27,27,0.0021982090547680855,5.0,54.0,750,12000
28,28,0.0022185000125318766,4.0,56.0,750,12000
29,29,0.0022393340477719903,4.0,58.0,750,12000
30,30,0.0022604999830946326,4.0,60.0,750,12000
31,31,0.0022813749965280294,3.0,62.0,750,12000
32,32,0.0023022920358926058,2.0,64.0,750,12000
33,33,0.0023224999895319343,3.0,66.0,750,12000
34,34,0.0023473340552300215,4.0,68.0,750,12000
35,35,0.0023687919601798058,2.0,70.0,750,12000
36,36,0.002389125060290098,3.0,72.0,750,12000
37,37,0.002410709043033421,3.0,74.0,750,12000
38,38,0.0024326250422745943,2.0,76.0,750,12000
39,39,0.0024534170515835285,3.0,78.0,750,12000
40,40,0.0024745420087128878,4.0,80.0,750,12000
41,41,0.002495791995897889,6.0,82.0,750,12000
42,42,0.0025173339527100325,8.0,84.0,750,12000
43,43,0.0025397089775651693,8.0,86.0,750,12000
44,44,0.0025623750407248735,8.0,88.0,750,12000
45,45,0.002584167057648301,9.0,90.0,750,12000
46,46,0.0026073340559378266,8.0,92.0,750,12000
47,47,0.002629250055179,9.0,94.0,750,12000
48,48,0.002647459041327238,9.0,95.0,750,12000
49,49,0.002672084025107324,9.0,97.0,750,12000
50,50,0.0026948340237140656,10.0,99.0,750,12000
51,51,0.002718792064115405,8.0,101.0,750,12000
52,52,0.0027427090099081397,7.0,103.0,750,12000
53,53,0.0027670840499922633,7.0,105.0,750,12000
54,54,0.0027912500081583858,5.0,107.0,750,12000
55,55,0.0028145420365035534,6.0,109.0,750,12000
56,56,0.002838792046532035,6.0,111.0,750,12000
57,57,0.002862334018573165,8.0,113.0,750,12000
58,58,0.0028858750592917204,9.0,115.0,750,12000
59,59,0.002909500035457313,11.0,117.0,750,12000
60,60,0.0029344590147957206,11.0,119.0,750,12000
61,61,0.002959375036880374,11.0,121.0,750,12000
62,62,0.002983334008604288,12.0,123.0,750,12000
63,63,0.003008584026247263,10.0,125.0,750,12000
64,64,0.0030342499958351254,10.0,127.0,750,12000
65,65,0.0030606669606640935,10.0,129.0,750,12000
66,66,0.0030857500387355685,12.0,131.0,750,12000
67,67,0.003111917059868574,10.0,133.0,750,12000
68,68,0.003138125059194863,9.0,135.0,750,12000
69,69,0.003164333989843726,8.0,137.0,750,12000
70,70,0.0031895419815555215,9.0,139.0,750,12000
71,71,0.0032159590627998114,8.0,141.0,750,12000
72,72,0.003242584061808884,7.0,143.0,750,12000
73,73,0.0032692920649424195,7.0,145.0,750,12000
74,74,0.0032960419775918126,5.0,147.0,750,12000
75,75,0.0033230000408366323,5.0,149.0,750,12000
76,76,0.003350208979099989,4.0,151.0,750,12000
77,77,0.003378499997779727,2.0,153.0,750,12000
78,78,0.0034071250120177865,2.0,155.0,750,12000
79,79,0.00343633396551013,2.0,157.0,750,12000
80,80,0.003464709036052227,4.0,159.0,750,12000
81,81,0.003494250006042421,4.0,161.0,750,12000
82,82,0.003522500046528876,5.0,163.0,750,12000
83,83,0.0035468749701976776,5.0,164.0,750,12000
84,84,0.0035741670290008187,7.0,166.0,750,12000
85,85,0.003602541983127594,7.0,168.0,750,12000
86,86,0.0036312920274212956,6.0,170.0,750,12000
87,87,0.00365874997805804,7.0,172.0,750,12000
88,88,0.0036910000490024686,7.0,174.0,750,12000
89,89,0.0037190000293776393,8.0,176.0,750,12000
90,90,0.003748042043298483,6.0,178.0,750,12000
91,91,0.003777208970859647,6.0,180.0,750,12000
92,92,0.003806374967098236,5.0,182.0,750,12000
93,93,0.003836084040813148,5.0,184.0,750,12000
94,94,0.0038657919503748417,4.0,186.0,750,12000
95,95,0.0038955840282142162,4.0,188.0,750,12000
96,96,0.003925416967831552,3.0,190.0,750,12000
97,97,0.003955541993491352,3.0,192.0,750,12000
98,98,0.003984833951108158,4.0,194.0,750,12000
99,99,0.004014000063762069,5.0,196.0,750,12000
100,100,0.00404441705904901,5.0,198.0,750,12000
101,101,0.004075041972100735,5.0,200.0,750,12000
102,102,0.004105958971194923,3.0,202.0,750,12000
103,103,0.004135750001296401,4.0,204.0,750,12000
104,104,0.004165583988651633,5.0,206.0,750,12000
105,105,0.004196000052616,6.0,208.0,750,12000
106,106,0.004227834055200219,5.0,210.0,750,12000
107,107,0.0042642500484362245,7.0,212.0,750,12000
108,108,0.004296874976716936,7.0,214.0,750,12000
109,109,0.004330291994847357,7.0,216.0,750,12000
110,110,0.004361917031928897,8.0,218.0,750,12000
111,111,0.004394583986140788,7.0,220.0,750,12000
112,112,0.004426917061209679,8.0,222.0,750,12000
113,113,0.0044597500236704946,8.0,224.0,750,12000
114,114,0.004492874955758452,8.0,226.0,750,12000
115,115,0.0045212500263005495,8.0,227.0,750,12000
116,116,0.004554708953946829,6.0,229.0,750,12000
117,117,0.004588417010381818,5.0,231.0,750,12000
118,118,0.004622124950401485,4.0,233.0,750,12000
119,119,0.00465487502515316,5.0,235.0,750,12000
120,120,0.004688875051215291,4.0,237.0,750,12000
121,121,0.004722499987110496,4.0,239.0,750,12000
122,122,0.0047550840536132455,5.0,241.0,750,12000
123,123,0.004789291997440159,5.0,243.0,750,12000
124,124,0.004824999952688813,5.0,245.0,750,12000
125,125,0.004855499952100217,5.0,246.0,750,12000
126,126,0.004890125012025237,7.0,248.0,750,12000
127,127,0.004926000023260713,7.0,250.0,750,12000
128,128,0.004960749996826053,8.0,252.0,750,12000
129,129,0.004997667041607201,7.0,254.0,750,12000
130,130,0.005032917018979788,6.0,256.0,750,12000
131,131,0.005067083984613419,7.0,258.0,750,12000
132,132,0.005097292014397681,7.0,259.0,750,12000
133,133,0.00513266702182591,6.0,261.0,750,12000
134,134,0.005168084055185318,6.0,263.0,750,12000
135,135,0.005203375010751188,5.0,265.0,750,12000
136,136,0.005238999961875379,5.0,267.0,750,12000
137,137,0.005274959024973214,5.0,269.0,750,12000
138,138,0.005305625032633543,5.0,270.0,750,12000
139,139,0.005340792005881667,6.0,272.0,750,12000
140,140,0.005371792009100318,6.0,273.0,750,12000
141,141,0.005408084020018578,6.0,275.0,750,12000
142,142,0.005443667061626911,7.0,277.0,750,12000
143,143,0.005480166990309954,6.0,279.0,750,12000
144,144,0.0055167090613394976,5.0,281.0,750,12000
145,145,0.005553583963774145,5.0,283.0,750,12000
146,146,0.005590499960817397,5.0,285.0,750,12000
147,147,0.005627500009723008,5.0,287.0,750,12000
148,148,0.00566483405418694,5.0,289.0,750,12000
149,149,0.005697416956536472,5.0,290.0,750,12000
150,150,0.005735125043429434,5.0,292.0,750,12000
151,151,0.005767875001765788,5.0,293.0,750,12000
152,152,0.005800583981908858,5.0,294.0,750,12000
153,153,0.005833500064909458,5.0,295.0,750,12000
154,154,0.005871667061001062,5.0,297.0,750,12000
155,155,0.005910084000788629,5.0,299.0,750,12000
156,156,0.005948625039309263,5.0,301.0,750,12000
157,157,0.005986124975606799,7.0,303.0,750,12000
158,158,0.006024874979630113,7.0,305.0,750,12000
159,159,0.0060638339491561055,7.0,307.0,750,12000
160,160,0.006097667035646737,7.0,308.0,750,12000
161,161,0.006135709001682699,8.0,310.0,750,12000
162,162,0.006175084039568901,8.0,312.0,750,12000
163,163,0.006209334009326994,8.0,313.0,750,12000
164,164,0.006243834039196372,8.0,314.0,750,12000
165,165,0.006278499960899353,8.0,315.0,750,12000
166,166,0.006317374994978309,9.0,317.0,750,12000
167,167,0.006352209020406008,9.0,318.0,750,12000
168,168,0.006387250032275915,9.0,319.0,750,12000
169,169,0.00642237497959286,9.0,320.0,750,12000
170,170,0.006457666982896626,9.0,321.0,750,12000
171,171,0.006493292050436139,9.0,322.0,750,12000
172,172,0.0065358750289306045,9.0,324.0,750,12000
173,173,0.006583375041373074,9.0,326.0,750,12000
174,174,0.00662087497767061,9.0,327.0,750,12000
175,175,0.006658334052190185,9.0,328.0,750,12000
176,176,0.006696167052723467,9.0,329.0,750,12000
177,177,0.0067393750650808215,9.0,331.0,750,12000
178,178,0.006782833952456713,8.0,333.0,750,12000
179,179,0.006826500059105456,8.0,335.0,750,12000
180,180,0.006869292003102601,9.0,337.0,750,12000
181,181,0.006911959033459425,10.0,339.0,750,12000
182,182,0.00695608404930681,10.0,341.0,750,12000
183,183,0.006998416967689991,10.0,343.0,750,12000
184,184,0.007040917058475316,10.0,345.0,750,12000
185,185,0.007083583972416818,10.0,347.0,750,12000
186,186,0.007121333968825638,10.0,348.0,750,12000
187,187,0.007163083995692432,10.0,349.0,750,12000
188,188,0.007200874970294535,10.0,350.0,750,12000
189,189,0.0072388340486213565,10.0,351.0,750,12000
190,190,0.007276959018781781,10.0,352.0,750,12000
191,191,0.007315083988942206,10.0,353.0,750,12000
192,192,0.007358500035479665,10.0,355.0,750,12000
193,193,0.00739962502848357,10.0,356.0,750,12000
194,194,0.007445291965268552,10.0,358.0,750,12000
195,195,0.0074845419730991125,10.0,359.0,750,12000
196,196,0.007524166954681277,10.0,360.0,750,12000
197,197,0.007563792052678764,10.0,361.0,750,12000
198,198,0.0076035839738324285,10.0,362.0,750,12000
199,199,0.0076434999937191606,10.0,363.0,750,12000
200,200,0.0076890840427950025,10.0,365.0,750,12000
201,201,0.007733709062449634,12.0,367.0,750,12000
202,202,0.007774041965603828,12.0,368.0,750,12000
203,203,0.0078200000571087,12.0,370.0,750,12000
204,204,0.007866041967645288,12.0,372.0,750,12000
205,205,0.007906791986897588,12.0,373.0,750,12000
206,206,0.007953417021781206,12.0,375.0,750,12000
207,207,0.007993999985046685,12.0,376.0,750,12000
208,208,0.00803458399605006,12.0,377.0,750,12000
209,209,0.008075583958998322,12.0,378.0,750,12000
210,210,0.008120625047013164,13.0,380.0,750,12000
211,211,0.008161584031768143,13.0,381.0,750,12000
212,212,0.00820799998473376,13.0,383.0,750,12000
213,213,0.00824937503784895,13.0,384.0,750,12000
214,214,0.008290875004604459,13.0,385.0,750,12000
215,215,0.008332291967235506,13.0,386.0,750,12000
216,216,0.008374416967853904,13.0,387.0,750,12000
217,217,0.008416334050707519,13.0,388.0,750,12000
218,218,0.008458208991214633,13.0,389.0,750,12000
219,219,0.008500250056385994,13.0,390.0,750,12000
220,220,0.008548166952095926,13.0,392.0,750,12000
221,221,0.00859229196794331,13.0,393.0,750,12000
222,222,0.008636374957859516,13.0,394.0,750,12000
223,223,0.0086850420339033,15.0,396.0,750,12000
224,224,0.00873474997933954,15.0,398.0,750,12000
225,225,0.008779708994552493,15.0,399.0,750,12000
226,226,0.008824791992083192,15.0,400.0,750,12000
227,227,0.008867959026247263,15.0,401.0,750,12000
228,228,0.00891125004272908,15.0,402.0,750,12000
229,229,0.008954458986409009,15.0,403.0,750,12000
230,230,0.00899800006300211,15.0,404.0,750,12000
231,231,0.009041666984558105,15.0,405.0,750,12000
232,232,0.009085291996598244,15.0,406.0,750,12000
233,233,0.009133917046710849,16.0,408.0,750,12000
234,234,0.009178124950267375,16.0,409.0,750,12000
235,235,0.009227583999745548,16.0,411.0,750,12000
236,236,0.009271875023841858,16.0,412.0,750,12000
237,237,0.009316292009316385,16.0,413.0,750,12000
238,238,0.009361166972666979,16.0,414.0,750,12000
239,239,0.009411250008270144,16.0,416.0,750,12000
240,240,0.009456166997551918,16.0,417.0,750,12000
241,241,0.009501249995082617,16.0,418.0,750,12000
242,242,0.009546624962240458,16.0,419.0,750,12000
243,243,0.00959216698538512,16.0,420.0,750,12000
244,244,0.009637749986723065,16.0,421.0,750,12000
245,245,0.009683500044047832,16.0,422.0,750,12000
246,246,0.009734209044836462,16.0,424.0,750,12000
247,247,0.009780124993994832,16.0,425.0,750,12000
248,248,0.009826458990573883,16.0,426.0,750,12000
249,249,0.009877917007543147,16.0,428.0,750,12000
250,250,0.009924125042743981,16.0,429.0,750,12000
251,251,0.0099740419536829,16.0,430.0,750,12000
252,252,0.010021541966125369,16.0,431.0,750,12000
253,253,0.010069084004499018,16.0,432.0,750,12000
254,254,0.010122000006958842,16.0,434.0,750,12000
255,255,0.010169708984903991,16.0,435.0,750,12000
256,256,0.010217624949291348,16.0,436.0,750,12000
257,257,0.010270458995364606,16.0,437.0,750,12000
258,258,0.010320584056898952,16.0,438.0,750,12000
259,259,0.010370583971962333,16.0,439.0,750,12000
260,260,0.01042095897719264,16.0,440.0,750,12000
261,261,0.010471125016920269,16.0,441.0,750,12000
262,262,0.01052116695791483,16.0,442.0,750,12000
263,263,0.010571334045380354,16.0,443.0,750,12000
264,264,0.010621209046803415,16.0,444.0,750,12000
265,265,0.010670291958376765,16.0,445.0,750,12000
266,266,0.01071966695599258,16.0,446.0,750,12000
267,267,0.010768749983981252,16.0,447.0,750,12000
268,268,0.010818624985404313,16.0,448.0,750,12000
269,269,0.010868250043131411,16.0,449.0,750,12000
270,270,0.01091804204043001,16.0,450.0,750,12000
271,271,0.01096787501592189,16.0,451.0,750,12000
272,272,0.011017958982847631,16.0,452.0,750,12000
273,273,0.01106812502257526,16.0,453.0,750,12000
274,274,0.011118417023681104,16.0,454.0,750,12000
275,275,0.011168792028911412,16.0,455.0,750,12000
276,276,0.011219416977837682,16.0,456.0,750,12000
277,277,0.011270083952695131,16.0,457.0,750,12000
278,278,0.011320875026285648,16.0,458.0,750,12000
279,279,0.011372084030881524,16.0,459.0,750,12000
280,280,0.011423542047850788,16.0,460.0,750,12000
281,281,0.011474875034764409,16.0,461.0,750,12000
282,282,0.011526333983056247,16.0,462.0,750,12000
283,283,0.011583999963477254,16.0,463.0,750,12000
284,284,0.01163666695356369,16.0,464.0,750,12000
285,285,0.011688458966091275,16.0,465.0,750,12000
286,286,0.011740750051103532,16.0,466.0,750,12000
287,287,0.011792959063313901,16.0,467.0,750,12000
288,288,0.011845209053717554,16.0,468.0,750,12000
